Teams,5–1,Teams
Team USA,,Team Europe
Doubles,5–4,Doubles
Shane Van Boening,,Eklent Kaçi
Tyler Styer,,Niels Feijen
Singles,0–5,Singles
Billy Thorpe,,Joshua Filler
Doubles,1–5,Doubles
Skyler Woodward,,Alexander Kazakis
Justin Bergman,,Jayson Shaw
Singles,3–5,Singles
Justin Bergman,,Jayson Shaw
Singles,1–5,Singles
Shane Van Boening,,Joshua Filler
Doubles,5–1,Doubles
Shane Van Boening,,Joshua Filler
Justin Bergman,,Jayson Shaw
Singles,1–5,Singles
Tyler Styer,,Eklent Kaçi
Doubles,5–1,Doubles
Billy Thorpe,,Niels Feijen
Skyler Woodward,,Alexander Kazakis
Singles,5–1,Singles
Shane Van Boening,,Alexander Kazakis
Doubles,5–1,Doubles
Shane Van Boening,,Joshua Filler
Skyler Woodward,,Eklent Kaçi
Singles,5–3,Singles
Skyler Woodward,,Niels Feijen
Doubles,5–4,Doubles
Skyler Woodward,,Eklent Kaçi
Tyler Styer,,Alexander Kazakis
Singles,0–5,Singles
Shane Van Boening,,Joshua Filler
Doubles,4–5,Doubles
Justin Bergman,,Niels Feijen
Billy Thorpe,,Jayson Shaw
Singles,5–3,Singles
Billy Thorpe,,Jayson Shaw
Singles,1–5,Singles
Tyler Styer,,Eklent Kaçi
Singles,5–3,Singles
Shane Van Boening,,Alexander Kazakis
Singles,5–3,Singles
Skyler Woodward,,Joshua Filler
