P,NP,Name,State
17,0,Johnny Archer, Georgia
14,0,Earl Strickland, North Carolina
11,0,Shane Van Boening, South Dakota
10,0,Rodney Morris, California
9,0,Corey Deuel, California
7,0,Jeremy Jones, Texas
5,1,Charlie Williams, South Korea1
5,0,Dennis Hatch, New York
4,4,Nick Varner, Kentucky
4,0,Mike Dechaine, Maine
3,1,Kim Davenport, Oklahoma
3,0,Justin Bergman, Illinois
3,0,James Rempe, Pennsylvania
3,0,Skyler Woodward, Kentucky
2,3,Mark Wilson, Missouri
2,0,Lou Butera, Pennsylvania
2,0,Michael Coltrain, North Carolina
2,0,Shannon Daulton, Kentucky
2,0,Mike Gulyassy, Ohio
2,0,Bobby Hunter, Michigan
2,0,Mike Massey, Tennessee
2,0,Reed Pierce, Mississippi
2,0,Shawn Putnam, Pennsylvania
2,0,Tony Robles, New York
2,0,John Schmidt, California
2,0,Dallas West, Illinois
2,0,Óscar Domínguez, California
1,1,C.J. Wiley, Texas
1,0,Mike Davis, North Carolina
1,0,John DiToro, Florida
1,0,Paul Gerni, New Jersey[3]
1,0,Roger Griffis, Texas
1,0,Justin Hall, Illinois
1,0,Danny Harriman, Maryland
1,0,Allen Hopkins, New Jersey
1,0,Jeanette Lee, New York
1,0,Gabe Owen, Kansas
1,0,Brandon Shuff, Virginia
1,0,Vivian Villarreal, Texas
1,0,Billy Thorpe, Ohio
0,1,Buddy Hall, Illinois
0,1,Johan Ruijsink, Netherlands1
