P,NP,Name,Country
17,0,Ralf Souquet, Germany
15,0,Mika Immonen, Finland
12,0,Niels Feijen, Netherlands
11,0,Steve Davis, England
8,1,Oliver Ortmann, Germany
8,0,Darren Appleton, England
8,0,Nick van den Berg, Netherlands
6,3,Marcus Chamat, Sweden
4,0,Karl Boyes, England
4,0,Steve Knight, England
3,0,Thomas Engert, Germany
3,0,Mark Gray, England
3,0,Thorsten Hohmann, Germany
2,2,Alex Lely, Netherlands
2,0,Albin Ouschan, Austria
2,0,Tony Drago, Malta
2,0,Nick Ekonomopoulos, Greece
2,0,Chris Melling, England
2,0,Ronnie O'Sullivan, England
2,0,Daryl Peach, England
2,0,Tom Storm, Sweden
2,0,Jimmy White, England
2,0,David Alcaide, Spain
2,0,Jayson Shaw, Scotland
1,0,Tommy Donlon, Ireland
1,0,Vincent Facquet, France
1,0,Allison Fisher, England
1,0,Alex Higgins, Northern Ireland
1,0,Raj Hundal, England
1,0,Lee Kendall, England
1,0,Imran Majid, England
1,0,Fabio Petroni, Italy
1,0,Andy Richardson, England
1,0,Franziska Stark, Germany
1,0,Konstantin Stepanov, Russia
1,0,Lee Tucker, England
1,0,Joshua Filler, Germany
0,7,Johan Ruijsink, Netherlands
